"id","country","channel","current_metrics_time","current_volume_time","analysis_period","category","brand","currency","volume_unit","pack_name","current_volume","channel_pack_mix","price_elasticity","current_price_per_volume","current_price_per_pack","current_volume_per_pack","distribution_type","current_distribution","distribution_elasticity","current_trade","trade_elasticity","input_trade"
"1","KSA","Supermarket","21-May","CY 2020","Jan 2018 to May 2021","Beverages","Pepsi","SAR","8Oz case","CAN 240ML","30549","0.30","-7.900","42.20","1.80","0.04","-1","-1.00","-1.000","-1.000","-1.000","-1.000"
"2","KSA","Supermarket","21-May","CY 2020","Jan 2018 to May 2021","Beverages","Pepsi","SAR","8Oz case","CAN 245ML","1494","0.00","-7.900","44.00","4.40","0.10","-1","-1.00","-1.000","-1.000","-1.000","-1.000"
"3","KSA","Supermarket","21-May","CY 2020","Jan 2018 to May 2021","Beverages","Pepsi","SAR","8Oz case","CAN 250ML","57298","0.60","-7.900","45.40","2.00","0.04","-1","-1.00","-1.000","-1.000","-1.000","-1.000"
"4","KSA","Supermarket","21-May","CY 2020","Jan 2018 to May 2021","Beverages","Pepsi","SAR","8Oz case","CAN 320ML","128232","1.40","-0.800","44.20","2.80","0.06","-1","-1.00","-1.000","-1.000","-1.000","-1.000"
"5","KSA","Supermarket","21-May","CY 2020","Jan 2018 to May 2021","Beverages","Pepsi","SAR","8Oz case","CAN 325ML","946158","10.30","-0.800","39.40","16.20","0.41","-1","-1.00","-1.000","-1.000","-1.000","-1.000"
"6","KSA","Supermarket","21-May","CY 2020","Jan 2018 to May 2021","Beverages","Pepsi","SAR","8Oz case","CAN 330ML","1205094","13.10","-0.800","39.60","9.00","0.23","-1","-1.00","-1.000","-1.000","-1.000","-1.000"
"7","KSA","Supermarket","21-May","CY 2020","Jan 2018 to May 2021","Beverages","Pepsi","SAR","8Oz case","CAN 355ML","1692112","18.40","-0.800","42.90","3.10","0.07","-1","-1.00","-1.000","-1.000","-1.000","-1.000"
"8","KSA","Supermarket","21-May","CY 2020","Jan 2018 to May 2021","Beverages","Pepsi","SAR","8Oz case","CAN 360ML","30895","0.30","-0.800","47.30","3.90","0.08","-1","-1.00","-1.000","-1.000","-1.000","-1.000"
"9","KSA","Supermarket","21-May","CY 2020","Jan 2018 to May 2021","Beverages","Pepsi","SAR","8Oz case","MSPET  1L","939269","10.20","-1.000","25.70","4.60","0.18","-1","-1.00","-1.000","-1.000","-1.000","-1.000"
"10","KSA","Supermarket","21-May","CY 2020","Jan 2018 to May 2021","Beverages","Pepsi","SAR","8Oz case","MSPET  2.2","2026107","22.00","-1.700","18.90","8.30","0.44","-1","-1.00","-1.000","-1.000","-1.000","-1.000"
"11","KSA","Supermarket","21-May","CY 2020","Jan 2018 to May 2021","Beverages","Pepsi","SAR","8Oz case","MSPET  2.2","2161671","23.40","-1.700","20.00","7.90","0.40","-1","-1.00","-1.000","-1.000","-1.000","-1.000"
"12","KSA","Supermarket","21-May","CY 2020","Jan 2018 to May 2021","Beverages","Pepsi","SAR","8Oz case","Total","9218879","100.00","-1.000","-1.00","-1.00","-1.00","-1","-1.00","-1.000","-1.000","-1.000","-1.000"
"13","KSA","Eateries","21-May","CY 2020","Jan 2018 to May 2021","Beverages","Pepsi","SAR","8Oz case","CAN 240ML","904861","2.80","-0.100","47.30","2.00","0.04","FSS","0.70","1.500","-1.000","-1.000","-1.000"
"14","KSA","Eateries","21-May","CY 2020","Jan 2018 to May 2021","Beverages","Pepsi","SAR","8Oz case","CAN 245ML","319615","1.00","-0.100","46.40","2.00","0.04","FSS","0.40","1.500","-1.000","-1.000","-1.000"
"15","KSA","Eateries","21-May","CY 2020","Jan 2018 to May 2021","Beverages","Pepsi","SAR","8Oz case","CAN 250ML","1385136","4.30","-0.100","45.40","2.00","0.04","FSS","1.40","1.500","-1.000","-1.000","-1.000"
"16","KSA","Eateries","21-May","CY 2020","Jan 2018 to May 2021","Beverages","Pepsi","SAR","8Oz case","CAN 320ML","6524479","20.20","-0.600","44.30","2.50","0.06","FSS","9.80","1.400","-1.000","-1.000","-1.000"
"17","KSA","Eateries","21-May","CY 2020","Jan 2018 to May 2021","Beverages","Pepsi","SAR","8Oz case","CAN 325ML","242691","0.80","-0.600","43.80","2.50","0.06","FSS","0.30","1.400","-1.000","-1.000","-1.000"
"18","KSA","Eateries","21-May","CY 2020","Jan 2018 to May 2021","Beverages","Pepsi","SAR","8Oz case","CAN 330ML","6370102","19.70","-0.600","43.90","2.60","0.06","FSS","1.00","1.400","-1.000","-1.000","-1.000"
"19","KSA","Eateries","21-May","CY 2020","Jan 2018 to May 2021","Beverages","Pepsi","SAR","8Oz case","CAN 355ML","1369764","4.20","-0.600","40.20","2.50","0.06","FSS","0.10","1.400","-1.000","-1.000","-1.000"
"20","KSA","Eateries","21-May","CY 2020","Jan 2018 to May 2021","Beverages","Pepsi","SAR","8Oz case","CAN 360ML","3029675","9.40","-0.600","47.30","3.00","0.06","FSS","2.10","1.400","-1.000","-1.000","-1.000"
"21","KSA","Eateries","21-May","CY 2020","Jan 2018 to May 2021","Beverages","Pepsi","SAR","8Oz case","MSPET  1L","1976326","6.10","0.000","28.40","5.00","0.18","FSS","2.10","1.500","-1.000","-1.000","-1.000"
"22","KSA","Eateries","21-May","CY 2020","Jan 2018 to May 2021","Beverages","Pepsi","SAR","8Oz case","MSPET  2.2","299605","0.90","-0.200","23.20","9.00","0.39","FSS","1.40","1.600","-1.000","-1.000","-1.000"
"23","KSA","Eateries","21-May","CY 2020","Jan 2018 to May 2021","Beverages","Pepsi","SAR","8Oz case","MSPET  2.2","9878957","30.60","-0.200","22.70","9.00","0.40","FSS","5.50","1.600","-1.000","-1.000","-1.000"
"24","KSA","Eateries","21-May","CY 2020","Jan 2018 to May 2021","Beverages","Pepsi","SAR","8Oz case","Total","32301213","100.00","-1.000","-1.00","-1.00","-1.00","-1","-1.00","-1.000","-1.000","-1.000","-1.000"
"25","KSA","Self Service","21-May","CY 2020","Jan 2018 to May 2021","Beverages","Pepsi","SAR","8Oz case","CAN 240ML","374944","3.30","-0.300","47.30","2.00","0.04","WD","34.80","1.000","-1.000","-1.000","-1.000"
"26","KSA","Self Service","21-May","CY 2020","Jan 2018 to May 2021","Beverages","Pepsi","SAR","8Oz case","CAN 245ML","155988","1.40","-0.300","46.40","2.00","0.04","WD","17.80","1.000","-1.000","-1.000","-1.000"
"27","KSA","Self Service","21-May","CY 2020","Jan 2018 to May 2021","Beverages","Pepsi","SAR","8Oz case","CAN 250ML","431523","3.80","-0.300","45.40","2.00","0.04","WD","53.20","1.000","-1.000","-1.000","-1.000"
"28","KSA","Self Service","21-May","CY 2020","Jan 2018 to May 2021","Beverages","Pepsi","SAR","8Oz case","CAN 320ML","1350385","12.00","-0.700","44.40","2.50","0.06","WD","83.80","0.200","-1.000","-1.000","-1.000"
"29","KSA","Self Service","21-May","CY 2020","Jan 2018 to May 2021","Beverages","Pepsi","SAR","8Oz case","CAN 325ML","70090","0.60","-0.700","42.30","3.10","0.07","WD","10.30","0.200","-1.000","-1.000","-1.000"
"30","KSA","Self Service","21-May","CY 2020","Jan 2018 to May 2021","Beverages","Pepsi","SAR","8Oz case","CAN 330ML","1620604","14.40","-0.700","27.50","3.00","0.11","WD","12.10","0.200","-1.000","-1.000","-1.000"
"31","KSA","Self Service","21-May","CY 2020","Jan 2018 to May 2021","Beverages","Pepsi","SAR","8Oz case","CAN 355ML","533842","4.70","-0.700","45.40","3.00","0.07","WD","10.00","0.200","-1.000","-1.000","-1.000"
"32","KSA","Self Service","21-May","CY 2020","Jan 2018 to May 2021","Beverages","Pepsi","SAR","8Oz case","CAN 360ML","15227","0.10","-0.700","52.60","3.30","0.06","WD","3.90","0.200","-1.000","-1.000","-1.000"
"33","KSA","Self Service","21-May","CY 2020","Jan 2018 to May 2021","Beverages","Pepsi","SAR","8Oz case","MSPET  1L","1342710","11.90","0.000","28.50","5.00","0.18","WD","91.60","1.700","-1.000","-1.000","-1.000"
"34","KSA","Self Service","21-May","CY 2020","Jan 2018 to May 2021","Beverages","Pepsi","SAR","8Oz case","MSPET  2.2","277393","2.50","-0.100","22.70","8.80","0.39","WD","32.10","0.100","-1.000","-1.000","-1.000"
"35","KSA","Self Service","21-May","CY 2020","Jan 2018 to May 2021","Beverages","Pepsi","SAR","8Oz case","MSPET  2.2","5074317","45.10","-0.100","22.80","9.00","0.40","WD","92.30","0.100","-1.000","-1.000","-1.000"
"36","KSA","Self Service","21-May","CY 2020","Jan 2018 to May 2021","Beverages","Pepsi","SAR","8Oz case","Total","11247023","100.00","-1.000","-1.00","-1.00","-1.00","-1","-1.00","-1.000","-1.000","-1.000","-1.000"
"37","KSA","Traditional Trade","21-May","CY 2020","Jan 2018 to May 2021","Beverages","Pepsi","SAR","8Oz case","CAN 240ML","578414","2.60","-11.000","47.30","2.00","0.04","TDP","33.50","2.000","-1.000","-1.000","-1.000"
"38","KSA","Traditional Trade","21-May","CY 2020","Jan 2018 to May 2021","Beverages","Pepsi","SAR","8Oz case","CAN 245ML","246345","1.10","-11.000","46.40","2.00","0.04","TDP","9.50","2.000","-1.000","-1.000","-1.000"
"39","KSA","Traditional Trade","21-May","CY 2020","Jan 2018 to May 2021","Beverages","Pepsi","SAR","8Oz case","CAN 250ML","1118336","5.00","-11.000","45.50","2.00","0.04","TDP","72.40","2.000","-1.000","-1.000","-1.000"
"40","KSA","Traditional Trade","21-May","CY 2020","Jan 2018 to May 2021","Beverages","Pepsi","SAR","8Oz case","CAN 320ML","2978908","13.20","-3.900","44.40","2.50","0.06","TDP","186.70","0.400","-1.000","-1.000","-1.000"
"41","KSA","Traditional Trade","21-May","CY 2020","Jan 2018 to May 2021","Beverages","Pepsi","SAR","8Oz case","CAN 325ML","176600","0.80","-3.900","43.70","2.50","0.06","TDP","8.40","0.400","-1.000","-1.000","-1.000"
"42","KSA","Traditional Trade","21-May","CY 2020","Jan 2018 to May 2021","Beverages","Pepsi","SAR","8Oz case","CAN 330ML","3256241","14.40","-3.900","43.30","2.50","0.06","TDP","11.20","0.400","-1.000","-1.000","-1.000"
"43","KSA","Traditional Trade","21-May","CY 2020","Jan 2018 to May 2021","Beverages","Pepsi","SAR","8Oz case","CAN 355ML","686060","3.00","-3.900","43.20","2.70","0.06","TDP","2.80","0.400","-1.000","-1.000","-1.000"
"44","KSA","Traditional Trade","21-May","CY 2020","Jan 2018 to May 2021","Beverages","Pepsi","SAR","8Oz case","CAN 360ML","35295","0.20","-3.900","43.80","2.80","0.06","TDP","6.30","0.400","-1.000","-1.000","-1.000"
"45","KSA","Traditional Trade","21-May","CY 2020","Jan 2018 to May 2021","Beverages","Pepsi","SAR","8Oz case","MSPET  1L","2970959","13.20","0.000","28.40","5.00","0.18","TDP","91.10","1.300","-1.000","-1.000","-1.000"
"46","KSA","Traditional Trade","21-May","CY 2020","Jan 2018 to May 2021","Beverages","Pepsi","SAR","8Oz case","MSPET  2.2","997850","4.40","-1.700","23.20","9.00","0.39","TDP","57.00","0.000","-1.000","-1.000","-1.000"
"47","KSA","Traditional Trade","21-May","CY 2020","Jan 2018 to May 2021","Beverages","Pepsi","SAR","8Oz case","MSPET  2.2","9502406","42.10","-1.700","22.70","9.00","0.40","TDP","84.40","0.000","-1.000","-1.000","-1.000"
"48","KSA","Traditional Trade","21-May","CY 2020","Jan 2018 to May 2021","Beverages","Pepsi","SAR","8Oz case","Total","22547413","100.00","-1.000","32.10","-1.00","-1.00","-1","-1.00","-1.000","0.048","0.100","0.048"
"49","KSA","Supermarket","21-May","CY 2020","Jan 2018 to May 2021","Beverages","7UP","SAR","8Oz case","CAN 360ML","30895","0.30","-0.800","47.30","3.90","0.08","-1","-1.00","-1.000","-1.000","-1.000","-1.000"
"50","KSA","Supermarket","21-May","CY 2020","Jan 2018 to May 2021","Beverages","7UP","SAR","8Oz case","CAN 355ML","1692112","18.40","-0.800","42.90","3.10","0.07","-1","-1.00","-1.000","-1.000","-1.000","-1.000"
"51","KSA","Supermarket","21-May","CY 2020","Jan 2018 to May 2021","Beverages","7UP","SAR","8Oz case","Total","9218879","100.00","-1.000","-1.00","-1.00","-1.00","-1","-1.00","-1.000","-1.000","-1.000","-1.000"
"52","KSA","Traditional Trade","21-May","CY 2020","Jan 2018 to May 2021","Beverages","7UP","SAR","8Oz case","Total","22547413","100.00","-1.000","32.10","-1.00","-1.00","-1","-1.00","-1.000","0.048","0.100","0.048"
"53","KSA","Traditional Trade","21-May","CY 2020","Jan 2018 to May 2021","Beverages","7UP","SAR","8Oz case","CAN 355ML","686060","3.00","-3.900","43.20","2.70","0.06","TDP","2.80","0.400","-1.000","-1.000","-1.000"
"54","KSA","Traditional Trade","21-May","CY 2020","Jan 2018 to May 2021","Beverages","7UP","SAR","8Oz case","CAN 360ML","35295","0.20","-3.900","43.80","2.80","0.06","TDP","6.30","0.400","-1.000","-1.000","-1.000"
